activity_id,date_local,name,sport,location,distance_km,duration_s,duration_hms,avg_hr,max_hr,elev_gain_m,elev_loss_m,aero_TE,ana_TE,vo2max,avg_speed_mps,max_speed_mps,pace_min_per_km,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s,is_parent,has_polyline,calories,sets_info
20025948549,2025-08-11 17:53:37,Trient Randonnée,hiking,Trient,6.89,6012.96,1h40m13s,96.0,131.0,71.0,66.0,0.800000011920929,0.0,,1.102,1.969,14:32/km,1575.271,433.01,0.0,0.0,0.0,False,True,317.0,
20017015230,2025-08-10 21:01:58,Musculation,strength_training,,0.0,4007.68,1h06m48s,117.0,172.0,,,1.2000000476837158,0.699999988079071,,,,,1354.403,1622.93,111.0,11.0,0.0,False,False,322.0,"[{'category': 'BENCH_PRESS', 'reps': 74, 'volume': 1660000, 'duration': 231811.0008239746, 'sets': 6, 'maxWeight': 30000}, {'category': 'PUSH_UP', 'reps': 13, 'volume': 260000, 'duration': 35742.000579833984, 'sets': 1, 'maxWeight': 20000}, {'category': 'SIT_UP', 'reps': 62, 'volume': 1395000, 'duration': 175097.0058441162, 'sets': 5, 'maxWeight': 40000}, {'category': 'LATERAL_RAISE', 'reps': 7, 'volume': 35000, 'duration': 26686.00082397461, 'sets': 1, 'maxWeight': 5000}, {'category': 'CURL', 'reps': 22, 'volume': 110000, 'duration': 59100.99983215332, 'sets': 2, 'maxWeight': 5000}, {'category': 'PULL_UP', 'reps': 57, 'volume': 820000, 'duration': 164455.99937438965, 'sets': 5, 'maxWeight': 30000}, {'category': 'UNKNOWN', 'reps': 204, 'volume': 4445000, 'duration': 670074.9969482422, 'sets': 17, 'maxWeight': 40000}, {'category': 'ROW', 'reps': 32, 'volume': 640000, 'duration': 86982.99789428711, 'sets': 3, 'maxWeight': 20000}]"
20000816793,2025-08-08 19:10:28,Massy Course à pied,running,Massy,4.008,1271.99,21m12s,168.0,190.0,24.0,31.0,3.200000047683716,0.0,55.0,3.144,3.639,5:17/km,39.995,104.0,272.982,695.95,113.887,False,True,232.0,
19957201847,2025-08-05 12:36:03,Nat. piscine,lap_swimming,,1.0,1813.12,30m13s,140.0,173.0,,,2.5,1.7000000476837158,,,,30:13/km,189.167,676.622,581.44,180.003,0.0,False,False,236.0,
19948704947,2025-08-04 16:45:17,Musculation,strength_training,,0.0,1413.41,23m33s,115.0,149.0,,,0.699999988079071,0.10000000149011612,,,,,600.612,490.996,7.0,0.0,0.0,False,False,122.0,"[{'category': 'BENCH_PRESS', 'reps': 25, 'volume': 625000, 'duration': 78614.99786376953, 'sets': 2, 'maxWeight': 25000}, {'category': 'PULL_UP', 'reps': 20, 'volume': 500000, 'duration': 63756.99806213379, 'sets': 2, 'maxWeight': 25000}, {'category': 'UNKNOWN', 'reps': 100, 'volume': 3040000, 'duration': 337730.993270874, 'sets': 8, 'maxWeight': 40000}]"
19948234798,2025-08-04 16:20:33,Vélo d'intérieur,indoor_cycling,,0.0,1198.65,19m59s,136.0,177.0,,,2.200000047683716,0.0,,,,,221.999,549.003,185.998,166.396,0.0,False,False,157.0,
19940762240,2025-08-03 19:13:03,Massy Course à pied,running,Massy,6.011,2011.86,33m32s,165.0,187.0,37.0,43.0,3.4000000953674316,0.0,55.0,2.983,3.452,5:34/km,19.993,414.952,232.054,1304.046,0.0,False,True,358.0,
19935120012,2025-08-03 12:08:09,Musculation,strength_training,,0.0,2981.34,49m41s,88.0,132.0,,,0.20000000298023224,0.0,,,,,273.938,61.329,0.0,0.0,0.0,False,False,130.0,"[{'category': 'BENCH_PRESS', 'reps': 54, 'volume': 270000, 'duration': 175018.9971923828, 'sets': 4, 'maxWeight': 5000}, {'category': 'CURL', 'reps': 57, 'volume': 285000, 'duration': 148279.99877929688, 'sets': 4, 'maxWeight': 5000}, {'category': 'TRICEPS_EXTENSION', 'reps': 31, 'volume': 155000, 'duration': 72885.9977722168, 'sets': 3, 'maxWeight': 5000}, {'category': 'UNKNOWN', 'reps': 156, 'volume': 2880000, 'duration': 794398.0007171631, 'sets': 13, 'maxWeight': 40000}]"
19925242166,2025-08-02 12:43:01,Musculation,strength_training,,0.0,3490.24,58m10s,87.0,145.0,,,0.4000000059604645,0.0,,,,,493.983,236.033,0.0,0.0,0.0,False,False,155.0,"[{'category': 'BENCH_PRESS', 'reps': 64, 'volume': 1485000, 'duration': 229805.99975585938, 'sets': 5, 'maxWeight': 30000}, {'category': 'PUSH_UP', 'reps': 12, 'volume': 240000, 'duration': 29458.999633789062, 'sets': 1, 'maxWeight': 20000}, {'category': 'PULL_UP', 'reps': 91, 'volume': 1220000, 'duration': 294226.9973754883, 'sets': 7, 'maxWeight': 25000}, {'category': 'UNKNOWN', 'reps': 142, 'volume': 2861000, 'duration': 493641.9982910156, 'sets': 10, 'maxWeight': 40000}, {'category': 'ROW', 'reps': 55, 'volume': 1400000, 'duration': 157577.9972076416, 'sets': 4, 'maxWeight': 40000}]"
19919297693,2025-08-01 20:15:38,Massy Course à pied,running,Massy,5.016,1597.67,26m38s,161.0,191.0,34.0,36.0,3.299999952316284,0.0,55.0,3.135,3.984,5:18/km,22.0,393.988,404.981,710.972,43.291,False,True,284.0,
