lat,speed_mps,timestamp_gmt_ms,lon,hr,time_s,elapsed_s,moving_s,elev_m,body_battery,dist_m,vert_mps,timestamp_utc
50.635029366239905,6.204999923706055,1753539761000.0,1.8158502224832773,116.0,3208.0,3208.0,2829.0,174.8000030517578,65.0,8192.650390625,-0.6000000238418579,2025-07-26 14:22:41+00:00
50.63492735847831,5.541999816894531,1753539763000.0,1.8159112427383661,116.0,3210.0,3210.0,2831.0,173.60000610351562,65.0,8204.58984375,-0.6000000238418579,2025-07-26 14:22:43+00:00
50.63483842648566,4.61899995803833,1753539765000.0,1.8159461952745914,116.0,3212.0,3212.0,2833.0,173.0,65.0,8214.740234375,-0.30000001192092896,2025-07-26 14:22:45+00:00
50.634766006842256,3.742000102996826,1753539767000.0,1.8159770406782627,114.0,3214.0,3214.0,2835.0,172.60000610351562,65.0,8223.509765625,-0.20000000298023224,2025-07-26 14:22:47+00:00
50.634685289114714,4.2829999923706055,1753539770000.0,1.8160729296505451,115.0,3217.0,3217.0,2838.0,172.1999969482422,65.0,8234.5302734375,-0.13300000131130219,2025-07-26 14:22:50+00:00
50.63463231548667,4.580999851226807,1753539772000.0,1.8161601852625608,116.0,3219.0,3219.0,2840.0,171.60000610351562,65.0,8242.9296875,-0.30000001192092896,2025-07-26 14:22:52+00:00
50.634605158120394,4.236000061035156,1753539773000.0,1.8162000831216574,116.0,3220.0,3220.0,2841.0,170.1999969482422,65.0,8247.08984375,-1.399999976158142,2025-07-26 14:22:53+00:00
50.634525613859296,4.2729997634887695,1753539776000.0,1.8163241352885962,116.0,3223.0,3223.0,2844.0,169.8000030517578,65.0,8259.5302734375,-0.13300000131130219,2025-07-26 14:22:56+00:00
50.6344476621598,4.544000148773193,1753539779000.0,1.816468220204115,118.0,3226.0,3226.0,2847.0,169.1999969482422,65.0,8272.91015625,-0.20000000298023224,2025-07-26 14:22:59+00:00
50.63435395248234,4.078000068664551,1753539783000.0,1.8166579864919186,117.0,3230.0,3230.0,2851.0,168.1999969482422,65.0,8289.830078125,-0.25,2025-07-26 14:23:03+00:00
50.63429896719754,4.61899995803833,1753539785000.0,1.816753288730979,117.0,3232.0,3232.0,2853.0,167.60000610351562,65.0,8298.990234375,-0.30000001192092896,2025-07-26 14:23:05+00:00
50.634201653301716,5.057000160217285,1753539789000.0,1.816963842138648,121.0,3236.0,3236.0,2857.0,168.1999969482422,65.0,8317.3701171875,0.15000000596046448,2025-07-26 14:23:09+00:00
50.634174244478345,4.7769999504089355,1753539790000.0,1.8170168995857239,125.0,3237.0,3237.0,2858.0,168.1999969482422,65.0,8322.3603515625,0.0,2025-07-26 14:23:10+00:00
50.63414675183594,5.000999927520752,1753539791000.0,1.817073980346322,127.0,3238.0,3238.0,2859.0,168.1999969482422,65.0,8327.400390625,0.0,2025-07-26 14:23:11+00:00
50.63408908434212,5.4019999504089355,1753539793000.0,1.8171928357332945,129.0,3240.0,3240.0,2861.0,166.39999389648438,65.0,8337.8095703125,-0.8999999761581421,2025-07-26 14:23:13+00:00
50.6340020801872,5.486000061035156,1753539796000.0,1.817373214289546,128.0,3243.0,3243.0,2864.0,165.1999969482422,65.0,8353.7998046875,-0.4000000059604645,2025-07-26 14:23:16+00:00
50.63397349789739,5.4679999351501465,1753539797000.0,1.8174364976584911,128.0,3244.0,3244.0,2865.0,165.1999969482422,65.0,8359.4296875,0.0,2025-07-26 14:23:17+00:00
50.633843913674355,4.916999816894531,1753539801000.0,1.817675968632102,127.0,3248.0,3248.0,2869.0,164.60000610351562,65.0,8381.849609375,-0.15000000596046448,2025-07-26 14:23:21+00:00
50.63381692394614,5.440000057220459,1753539802000.0,1.8177461251616478,129.0,3249.0,3249.0,2870.0,164.1999969482422,65.0,8387.2802734375,-0.4000000059604645,2025-07-26 14:23:22+00:00
50.633794544264674,5.131999969482422,1753539803000.0,1.8178109172731638,130.0,3250.0,3250.0,2871.0,163.8000030517578,65.0,8392.7099609375,-0.4000000059604645,2025-07-26 14:23:23+00:00
