hr,body_battery,timestamp_gmt_ms,moving_s,time_s,elapsed_s,dist_m,timestamp_utc
82.0,77.0,1753265893000.0,0.0,225.0,225.0,0.0,2025-07-23 10:18:13+00:00
81.0,77.0,1753265894000.0,0.0,226.0,226.0,0.0,2025-07-23 10:18:14+00:00
80.0,77.0,1753265899000.0,0.0,231.0,231.0,0.0,2025-07-23 10:18:19+00:00
82.0,77.0,1753265903000.0,0.0,235.0,235.0,0.0,2025-07-23 10:18:23+00:00
78.0,77.0,1753265904000.0,0.0,236.0,236.0,0.0,2025-07-23 10:18:24+00:00
76.0,77.0,1753265905000.0,0.0,237.0,237.0,0.0,2025-07-23 10:18:25+00:00
77.0,77.0,1753265906000.0,0.0,238.0,238.0,0.0,2025-07-23 10:18:26+00:00
75.0,77.0,1753265907000.0,0.0,239.0,239.0,0.0,2025-07-23 10:18:27+00:00
74.0,77.0,1753265910000.0,0.0,242.0,242.0,0.0,2025-07-23 10:18:30+00:00
73.0,77.0,1753265913000.0,0.0,245.0,245.0,0.0,2025-07-23 10:18:33+00:00
74.0,77.0,1753265915000.0,0.0,247.0,247.0,0.0,2025-07-23 10:18:35+00:00
75.0,77.0,1753265918000.0,0.0,250.0,250.0,0.0,2025-07-23 10:18:38+00:00
76.0,77.0,1753265919000.0,0.0,251.0,251.0,0.0,2025-07-23 10:18:39+00:00
77.0,77.0,1753265920000.0,0.0,252.0,252.0,0.0,2025-07-23 10:18:40+00:00
78.0,77.0,1753265921000.0,0.0,253.0,253.0,0.0,2025-07-23 10:18:41+00:00
81.0,77.0,1753265922000.0,0.0,254.0,254.0,0.0,2025-07-23 10:18:42+00:00
83.0,77.0,1753265924000.0,0.0,256.0,256.0,0.0,2025-07-23 10:18:44+00:00
84.0,77.0,1753265925000.0,0.0,257.0,257.0,0.0,2025-07-23 10:18:45+00:00
85.0,77.0,1753265929000.0,0.0,261.0,261.0,0.0,2025-07-23 10:18:49+00:00
82.0,77.0,1753265930000.0,0.0,262.0,262.0,0.0,2025-07-23 10:18:50+00:00
83.0,77.0,1753265932000.0,0.0,264.0,264.0,0.0,2025-07-23 10:18:52+00:00
84.0,77.0,1753265933000.0,0.0,265.0,265.0,0.0,2025-07-23 10:18:53+00:00
85.0,77.0,1753265934000.0,0.0,266.0,266.0,0.0,2025-07-23 10:18:54+00:00
86.0,77.0,1753265937000.0,0.0,269.0,269.0,0.0,2025-07-23 10:18:57+00:00
85.0,77.0,1753265938000.0,0.0,270.0,270.0,0.0,2025-07-23 10:18:58+00:00
85.0,77.0,1753265940000.0,0.0,272.0,272.0,0.0,2025-07-23 10:19:00+00:00
84.0,77.0,1753265941000.0,0.0,273.0,273.0,0.0,2025-07-23 10:19:01+00:00
83.0,77.0,1753265945000.0,0.0,277.0,277.0,0.0,2025-07-23 10:19:05+00:00
82.0,77.0,1753265946000.0,0.0,278.0,278.0,0.0,2025-07-23 10:19:06+00:00
81.0,77.0,1753265949000.0,0.0,281.0,281.0,0.0,2025-07-23 10:19:09+00:00
82.0,77.0,1753265952000.0,0.0,284.0,284.0,0.0,2025-07-23 10:19:12+00:00
83.0,77.0,1753265956000.0,0.0,288.0,288.0,0.0,2025-07-23 10:19:16+00:00
88.0,77.0,1753265958000.0,0.0,290.0,290.0,0.0,2025-07-23 10:19:18+00:00
89.0,77.0,1753265959000.0,0.0,291.0,291.0,0.0,2025-07-23 10:19:19+00:00
88.0,77.0,1753265960000.0,0.0,292.0,292.0,0.0,2025-07-23 10:19:20+00:00
89.0,77.0,1753265962000.0,0.0,294.0,294.0,0.0,2025-07-23 10:19:22+00:00
90.0,77.0,1753265963000.0,0.0,295.0,295.0,0.0,2025-07-23 10:19:23+00:00
92.0,77.0,1753265965000.0,0.0,297.0,297.0,0.0,2025-07-23 10:19:25+00:00
93.0,77.0,1753265966000.0,0.0,298.0,298.0,0.0,2025-07-23 10:19:26+00:00
94.0,77.0,1753265967000.0,0.0,299.0,299.0,0.0,2025-07-23 10:19:27+00:00
99.0,77.0,1753265968000.0,0.0,300.0,300.0,0.0,2025-07-23 10:19:28+00:00
104.0,77.0,1753265969000.0,0.0,301.0,301.0,0.0,2025-07-23 10:19:29+00:00
108.0,77.0,1753265970000.0,0.0,302.0,302.0,0.0,2025-07-23 10:19:30+00:00
110.0,77.0,1753265971000.0,0.0,303.0,303.0,0.0,2025-07-23 10:19:31+00:00
111.0,77.0,1753265972000.0,0.0,304.0,304.0,0.0,2025-07-23 10:19:32+00:00
112.0,77.0,1753265973000.0,0.0,305.0,305.0,0.0,2025-07-23 10:19:33+00:00
111.0,77.0,1753265976000.0,0.0,308.0,308.0,0.0,2025-07-23 10:19:36+00:00
110.0,77.0,1753265977000.0,0.0,309.0,309.0,0.0,2025-07-23 10:19:37+00:00
111.0,77.0,1753265979000.0,0.0,311.0,311.0,0.0,2025-07-23 10:19:39+00:00
110.0,77.0,1753265980000.0,0.0,312.0,312.0,0.0,2025-07-23 10:19:40+00:00
109.0,77.0,1753265981000.0,0.0,313.0,313.0,0.0,2025-07-23 10:19:41+00:00
110.0,77.0,1753265982000.0,0.0,314.0,314.0,0.0,2025-07-23 10:19:42+00:00
113.0,77.0,1753265983000.0,0.0,315.0,315.0,0.0,2025-07-23 10:19:43+00:00
114.0,77.0,1753265984000.0,0.0,316.0,316.0,0.0,2025-07-23 10:19:44+00:00
115.0,77.0,1753265985000.0,0.0,317.0,317.0,0.0,2025-07-23 10:19:45+00:00
114.0,77.0,1753265986000.0,0.0,318.0,318.0,0.0,2025-07-23 10:19:46+00:00
113.0,77.0,1753265988000.0,0.0,320.0,320.0,0.0,2025-07-23 10:19:48+00:00
114.0,77.0,1753265991000.0,0.0,323.0,323.0,0.0,2025-07-23 10:19:51+00:00
115.0,77.0,1753265992000.0,0.0,324.0,324.0,0.0,2025-07-23 10:19:52+00:00
114.0,77.0,1753265997000.0,0.0,329.0,329.0,0.0,2025-07-23 10:19:57+00:00
113.0,76.0,1753266000000.0,0.0,332.0,332.0,0.0,2025-07-23 10:20:00+00:00
112.0,76.0,1753266001000.0,0.0,333.0,333.0,0.0,2025-07-23 10:20:01+00:00
111.0,76.0,1753266002000.0,0.0,334.0,334.0,0.0,2025-07-23 10:20:02+00:00
109.0,76.0,1753266003000.0,0.0,335.0,335.0,0.0,2025-07-23 10:20:03+00:00
108.0,76.0,1753266004000.0,0.0,336.0,336.0,0.0,2025-07-23 10:20:04+00:00
107.0,76.0,1753266006000.0,0.0,338.0,338.0,0.0,2025-07-23 10:20:06+00:00
107.0,76.0,1753266007000.0,0.0,339.0,339.0,0.0,2025-07-23 10:20:07+00:00
106.0,76.0,1753266008000.0,0.0,340.0,340.0,0.0,2025-07-23 10:20:08+00:00
